Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
ITALEDIL SRLS,Ferramenta,,0881 553454,"2, Viale degli Albanesi D'italia, 71030",Casalvecchio di Puglia,,,,,,,,,,,
Salumi cutaio,Alimenti base confezionati,,334 588 6349,Contrada Macchia Di Lenza,Casalvecchio di Puglia,,,,,,,,,,,
Comune di Casalvecchio di Puglia,Municipio,,0881 553018,"Via Fabio Filzi, 66",Casalvecchio di Puglia,,,,,,,,,,,
Castelluccio Paolo,Mercato ortofrutticolo,,0835 910185,"Via Fiume, 1",Policoro,,,,,,,,,,,
Comune di Castelluccio Valmaggiore,Municipio,,0881 972015,Piazza Marconi,Castelluccio Valmaggiore,,,,,,,,,,,
Supermercato Despar Di Gennaro Serena & Figli,Alimentari,,0881 972037,"V. Martiri di V. Fani, 132",Castelluccio Valmaggiore,,,,,,,,,,,
L'Angolo di Venere di Rocchina L'Erario,Centro estetico,,333 561 3598,"Via Gelso, 20",Castelluccio Valmaggiore,,,,,,,,,,,
Ruggiero Giovanni,Fornitore di materiali da costruzione,,0881 554184,"Via Cairoli, 211",Celenza Valfortore,,,,,,,,,,,
Fomas Srl,Ferramenta,,0881 554182,"Via Giardino, 2A",Celenza Valfortore,,,,,,,,,,,
Co.Ma.Co,Fornitore di materiali da costruzione,,0881 554255,"Contrada Fornaci, Snc",Celenza Valfortore,,,,,,,,,,,
Bar Al Grottino,Bar,,333 338 5570,"Piazza Alessandro Malice, 24",Celenza Valfortore,,,,,,,,,,,
Alimentari Il Borgo,Alimentari,,0881 554111,"Via dell Indipendenza, 7",Celenza Valfortore,,,,,,,,,,,
Panificio Gelsi Antonio,Fornaio,,0881 554022,"Vico Gianlorenzo Bernini, 5",Celenza Valfortore,,,,,,,,,,,
Macelleria Laccone,Macelleria,,0881 554302,"Largo IV Novembre, 6",Celenza Valfortore,,,,,,,,,,,
Cucina d'autore,Ristorante,,0881 063024,"SP1, km",Celenza Valfortore,,,,,,,,,,,
D'Agostino F.lli Claudio & Davide s.n.c.,Fornitore di materiali da costruzione,,0881 554584,"Sp.1, Contrada Fornaci",Celenza Valfortore,,,,,,,,,,,
