comuni;
Abbadia Cerreto;
Abbadia Lariana;
Abbiategrasso;
Acquafredda;
Acquanegra Cremonese;
Acquanegra sul Chiese;
Adrara San Martino;
Adrara San Rocco;
Adro;
Agnadello;
Agnosine;
Agra;
Agrate Brianza;
Aicurzio;
Airuno;
Alagna;
Albairate;
Albano Sant'Alessandro;
Albaredo per San Marco;
Albavilla;
Albese con Cassano;
Albiate;
Albino;
Albiolo;
Albizzate;
Albonese;
Albosaggia;
Albuzzano;
Alfianello;
Algua;
Almè;
Almenno San Bartolomeo;
Almenno San Salvatore;
Alserio;
Alta Valle Intelvi;
Alzano Lombardo;
Alzate Brianza;
Ambivere;
Andalo Valtellino;
Anfo;
Angera;
Angolo Terme;
Annicco;
Annone di Brianza;
Antegnate;
Anzano del Parco;
Appiano Gentile;
Aprica;
Arcene;
Arcisate;
Arconate;
Arcore;
Ardenno;
Ardesio;
Arena Po;
Arese;
Argegno;
Arluno;
Arosio;
Arsago Seprio;
Artogne;
Arzago d'Adda;
Asola;
Assago;
Asso;
Averara;
Aviatico;
Azzanello;
Azzano Mella;
Azzano San Paolo;
Azzate;
Azzio;
Azzone;
Badia Pavese;
Bagnaria;
Bagnatica;
Bagnolo Cremasco;
Bagnolo Mella;
Bagnolo San Vito;
Bagolino;
Ballabio;
Baranzate;
Barasso;
Barbariga;
Barbata;
Barbianello;
Bardello con Malgesso e Bregano;
Bareggio;
Barghe;
Bariano;
Barlassina;
Barni;
Barzago;
Barzana;
Barzanò;
Barzio;
Bascapè;
Basiano;
Basiglio;
Bassano Bresciano;
Bastida Pancarana;
Battuda;
Bedero Valcuvia;
Bedizzole;
Bedulita;
Belgioioso;
Bellagio;
Bellano;
Bellinzago Lombardo;
Bellusco;
Bema;
Bene Lario;
Berbenno;
Berbenno di Valtellina;
Beregazzo con Figliaro;
Bereguardo;
Bergamo;
Berlingo;
Bernareggio;
Bernate Ticino;
Bertonico;
Berzo Demo;
Berzo Inferiore;
Berzo San Fermo;
Besana in Brianza;
Besano;
Besate;
Besnate;
Besozzo;
Biandronno;
Bianzano;
Bianzone;
Biassono;
Bienno;
Binago;
Binasco;
Bione;
Bisuschio;
Bizzarone;
Blello;
Blessagno;
Blevio;
Bodio Lomnago;
Boffalora d'Adda;
Boffalora sopra Ticino;
Bolgare;
Bollate;
Boltiere;
Bonate Sopra;
Bonate Sotto;
Bonemerse;
Bordolano;
Borgarello;
Borghetto Lodigiano;
Borgo di Terzo;
Borgo Priolo;
Borgo San Giacomo;
Borgo San Giovanni;
Borgo San Siro;
Borgocarbonara;
Borgo Mantovano;
Borgoratto Mormorolo;
Borgosatollo;
Borgo Virgilio;
Bormio;
Bornasco;
Borno;
Bosisio Parini;
Bosnasco;
Bossico;
Bottanuco;
Botticino;
Bovegno;
Bovezzo;
Bovisio Masciago;
Bozzolo;
Bracca;
Brallo di Pregola;
Brandico;
Branzi;
Braone;
Brebbia;
Bregnano;
Brembate;
Brembate di Sopra;
Brembio;
Breme;
Brenna;
Breno;
Brenta;
Brescia;
Bressana Bottarone;
Bresso;
Brezzo di Bedero;
