Comune;
Ala;
Albiano;
Aldeno;
Aldino;
Altavalle;
Altopiano della Vigolana;
Amblar-Don;
Andalo;
Andriano;
Anterivo;
Appiano sulla Strada del Vino;
Arco;
Avelengo;
Avio;
Badia;
Barbiano;
Baselga di Piné;
Bedollo;
Besenello;
Bieno;
Bleggio Superiore;
Bocenago;
Bolzano;
Bondone;
Borgo Chiese;
Borgo Lares;
Borgo Valsugana;
Borgo d'Anaunia;
Braies;
Brennero;
Brentonico;
Bresimo;
Bressanone;
Bronzolo;
Brunico;
Caderzone Terme;
Caines;
Calceranica al Lago;
Caldaro sulla Strada del Vino;
Caldes;
Caldonazzo;
Calliano;
Campitello di Fassa;
Campo Tures;
Campo di Trens;
Campodenno;
Canal San Bovo;
Canazei;
Capriana;
Carisolo;
Carzano;
Castel Condino;
Castel Ivano;
Castelbello-Ciardes;
Castello Tesino;
Castello-Molina di Fiemme;
Castelnuovo;
Castelrotto;
Cavalese;
Cavareno;
Cavedago;
Cavedine;
Cavizzana;
Cembra Lisignago;
Cermes;
Chienes;
Chiusa;
Cimone;
Cinte Tesino;
Cis;
Civezzano;
Cles;
Comano Terme;
Commezzadura;
Contà;
Cornedo all'Isarco;
Cortaccia sulla Strada del Vino;
Cortina sulla Strada del Vino;
Corvara in Badia;
Croviana;
Curon Venosta;
Dambel;
Denno;
Dimaro Folgarida;
Dobbiaco;
Drena;
Dro;
Egna;
Fai della Paganella;
Falzes;
Fiavé;
Fierozzo;
Fiè allo Sciliar;
Folgaria;
Fornace;
Fortezza;
Frassilongo;
Funes;
Gais;
Gargazzone;
Garniga Terme;
Giovo;
Giustino;
Glorenza;
Grigno;
Imer;
Isera;
La Valle;
Laces;
Lagundo;
Laion;
Laives;
Lana;
Lasa;
Lauregno;
Lavarone;
Lavis;
Ledro;
Levico Terme;
Livo;
Lona-Lases;
Luserna;
Luson;
Madruzzo;
Magrè sulla Strada del Vino;
Malles Venosta;
Malé;
Marebbe;
Marlengo;
Martello;
Massimeno;
Mazzin;
Meltina;
Merano;
Mezzana;
Mezzano;
Mezzocorona;
Mezzolombardo;
Moena;
Molveno;
Monguelfo-Tesido;
Montagna sulla Strada del Vino;
Mori;
Moso in Passiria;
Nago-Torbole;
Nalles;
Naturno;
Naz-Sciaves;
Nogaredo;
Nomi;
Nova Levante;
Nova Ponente;
Novaledo;
Novella;
Ora;
Ortisei;
Ospedaletto;
Ossana;
Palù del Fersina;
Panchià;
Parcines;
Peio;
Pellizzano;
Pelugo;
Perca;
Pergine Valsugana;
Pieve Tesino;
Pieve di Bono-Prezzo;
Pinzolo;
Plaus;
Pomarolo;
Ponte Gardena;
Porte di Rendena;
Postal;
Prato allo Stelvio;
Predaia;
Predazzo;
Predoi;
Primiero San Martino di Castrozza;
Proves;
Rabbi;
Racines;
Rasun-Anterselva;
Renon;
Rifiano;
Rio di Pusteria;
Riva del Garda;
Rodengo;
Romeno;
Roncegno Terme;
Ronchi Valsugana;
Ronzo-Chienis;
Ronzone;
Rovereto;
Roveré della Luna;
Ruffré-Mendola;
Rumo;
Sagron Mis;
Salorno sulla Strada del Vino;
Samone;
San Candido;
San Genesio Atesino;
San Giovanni di Fassa;
San Leonardo in Passiria;
San Lorenzo Dorsino;
San Lorenzo di Sebato;
San Martino in Badia;
San Martino in Passiria;
San Michele all'Adige;
San Pancrazio;
Sant'Orsola Terme;
Santa Cristina Valgardena;
Sanzeno;
Sarentino;
Sarnonico;
Scena;
Scurelle;
Segonzano;
Sella Giudicarie;
Selva dei Molini;
Selva di Val Gardena;
Senale-San Felice;
Senales;
Sesto;
Sfruz;
Silandro;
Sluderno;
Soraga di Fassa;
Sover;
Spiazzo;
Spormaggiore;
Sporminore;
Stelvio;
Stenico;
Storo;
Strembo;
Telve;
Telve di Sopra;
Tenna;
Tenno;
Terento;
Terlano;
Termeno sulla Strada del Vino;
Terragnolo;
Terre d'Adige;
Terzolas;
Tesero;
Tesimo;
Tione di Trento;
Tires;
Tirolo;
Ton;
Torcegno;
Trambileno;
Tre Ville;
Trento;
Trodena nel parco naturale;
Tubre;
Ultimo;
Vadena;
Val di Vizze;
Valdaone;
Valdaora;
Valfloriana;
Vallarsa;
Valle Aurina;
Valle di Casies;
Vallelaghi;
Vandoies;
Varna;
Velturno;
Verano;
Vermiglio;
Vignola-Falesina;
Villa Lagarina;
Villabassa;
Villandro;
Ville d'Anaunia;
Ville di Fiemme;
Vipiteno;
Volano;
Ziano di Fiemme;
