Comune;
Acquaviva Collecroce;
Acquaviva d'Isernia;
Agnone;
Bagnoli del Trigno;
Baranello;
Belmonte del Sannio;
Bojano;
Bonefro;
Busso;
Campobasso;
Campochiaro;
Campodipietra;
Campolieto;
Campomarino;
Cantalupo nel Sannio;
Capracotta;
Carovilli;
Carpinone;
Casacalenda;
Casalciprano;
Castelbottaccio;
Castel del Giudice;
Castellino del Biferno;
Castelmauro;
Castelpetroso;
Castelpizzuto;
Castel San Vincenzo;
Castelverrino;
Castropignano;
Cercemaggiore;
Cercepiccola;
Cerro al Volturno;
Chiauci;
Civitacampomarano;
Civitanova del Sannio;
Colle d'Anchise;
Colletorto;
Colli a Volturno;
Conca Casale;
Duronia;
Ferrazzano;
Filignano;
Forlì del Sannio;
Fornelli;
Fossalto;
Frosolone;
Gambatesa;
Gildone;
Guardialfiera;
Guardiaregia;
Guglionesi;
Jelsi;
Isernia;
Larino;
Limosano;
Longano;
Lucito;
Lupara;
Macchia d'Isernia;
Macchiagodena;
Macchia Valfortore;
Mafalda;
Matrice;
Mirabello Sannitico;
Miranda;
Molise;
Monacilioni;
Montagano;
Montaquila;
Montecilfone;
Montefalcone nel Sannio;
Montelongo;
Montemitro;
Montenero di Bisaccia;
Montenero Val Cocchiara;
Monteroduni;
Montorio nei Frentani;
Morrone del Sannio;
Oratino;
Palata;
Pesche;
Pescolanciano;
Pescopennataro;
Petacciato;
Petrella Tifernina;
Pettoranello del Molise;
Pietrabbondante;
Pietracatella;
Pietracupa;
Pizzone;
Poggio Sannita;
Portocannone;
Pozzilli;
Provvidenti;
Riccia;
Rionero Sannitico;
Ripabottoni;
Ripalimosani;
Roccamandolfi;
Roccasicura;
Roccavivara;
Rocchetta a Volturno;
Rotello;
Salcito;
San Biase;
San Felice del Molise;
San Giacomo degli Schiavoni;
San Giovanni in Galdo;
San Giuliano del Sannio;
San Giuliano di Puglia;
San Martino in Pensilis;
San Massimo;
San Pietro Avellana;
San Polo Matese;
Santa Croce di Magliano;
Sant'Agapito;
Santa Maria del Molise;
Sant'Angelo del Pesco;
Sant'Angelo Limosano;
Sant'Elena Sannita;
Sant'Elia a Pianisi;
Scapoli;
Sepino;
Sessano del Molise;
Sesto Campano;
Spinete;
Tavenna;
Termoli;
Torella del Sannio;
Toro;
Trivento;
Tufara;
Ururi;
Vastogirardi;
Venafro;
Vinchiaturo;
